id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1177802959020855296,Sat Sep 28 04:31:22 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,tschlander,,,vectornator,,
1177802925663383552,Sat Sep 28 04:31:14 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#iphone11 Longest lasting battery in an iPhone.
Dude. Android has 6000-20,000 MAH batteries and phones that survive… https://t.co/Tcum0EuC1N","Longest lasting battery iPhone Dude Android -20,000 MAH batteries phones survive…","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,daddydom_69_,,iphone11,,Earth,
1177802917958574080,Sat Sep 28 04:31:12 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","almost done 🕺🏽 pls like &amp; RT
#Fortnite #fortnitemobile #freekodakblack #ninja #iphone11 #apple #followback… https://t.co/ocRN9s0KbS",almost done pls like amp RT …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,2,0,fnm_manaic,False,"Fortnite, fortnitemobile, freekodakblack, ninja, iphone11, apple, followback",,,
1177802674391007233,Sat Sep 28 04:30:14 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",I drew a wallpaper for the new iPhone. #iPhoneXRPro #iPhone11Pro #iPhoneXRProMax #iPhone11ProMax #iPhoneXR… https://t.co/jL4bb08nm4,I drew wallpaper new iPhone …,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,1,0,MikiIsomura,False,"iPhoneXRPro, iPhone11Pro, iPhoneXRProMax, iPhone11ProMax, iPhoneXR",,,
1177802525564649473,Sat Sep 28 04:29:39 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,edwardlodge,,,vectornator,"London, England",
1177802397235564544,Sat Sep 28 04:29:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Crowd outside an #Apple store  waiting for the New #iPhone which started selling in Mumbai from 6pm onwards yesterd… https://t.co/65G6GMcusd,Crowd outside store waiting New started selling Mumbai pm onwards yesterd…,"Sentiment(polarity=0.06818181818181818, subjectivity=0.25227272727272726)",0.06818181818181818,0.25227272727272726,en,5,0,Amit_Photowalla,False,"Apple, iPhone",,"Mumbai, Maharashtra",
1177802325181616128,Sat Sep 28 04:28:51 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","When you are set to buy the #iPhone11 and Amazon confuses you by selling the #iPhoneXR at Rs 36,000. Someone should… https://t.co/q1LzIAaiQG","When set buy Amazon confuses selling Rs ,000 Someone should…","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,7,0,snehasaha1994,,"iPhone11, iPhoneXR",,Kolkata | New Delhi,
1177802248878903296,Sat Sep 28 04:28:33 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It's amazing with the right pricing how many will shift to the ios platform 😊#iOS #iphone #iPhone11,It 's amazing right pricing many shift ios platform,"Sentiment(polarity=0.4619047619047619, subjectivity=0.6452380952380953)",0.4619047619047619,0.6452380952380953,en,0,0,vinitbhavi,,"iOS, iphone, iPhone11",,Mumbai,
1177802217513873408,Sat Sep 28 04:28:25 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @RobertBeadles: iPhone 11 Promax Quick and dirty comparison, review and unboxing. Let me know how you like, love or hate your iPhone!
RE…",iPhone Promax Quick dirty comparison review unboxing Let know like love hate iPhone RE…,"Sentiment(polarity=-0.14166666666666666, subjectivity=0.7)",-0.14166666666666666,0.7,en,0,101,bolbetacrypto,True,,RobertBeadles,,
1177801901045272576,Sat Sep 28 04:27:10 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ishanagarwal24: iPhone 11 Series seems to be having a good launch day in India considering many retailers declared their first batch to…,iPhone Series seems good launch day India considering many retailers declared first batch to…,"Sentiment(polarity=0.48333333333333334, subjectivity=0.4777777777777778)",0.48333333333333334,0.4777777777777778,en,0,10,Misicdrug,,,ishanagarwal24,"Dehradun, Uttaranchal",
